D:\software\anaconda\envs\POP-net\python.exe E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py 
E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py:17: DeprecationWarning: Please use `maximum_filter` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import maximum_filter
E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py:18: DeprecationWarning: Please use `binary_dilation` from the `scipy.ndimage` namespace, the `scipy.ndimage.morphology` namespace is deprecated.
  from scipy.ndimage.morphology import binary_dilation
  loss_det_foreground:0.2524  loss_det_background:0.2295  repeatability:3.1108  point_number:398.10 

## ep:0 iter:302/4999 ##  loss_detection:0.614  loss_description:0.1874  loss_informativeness:0.0000 
  loss_det_foreground:0.2633  loss_det_background:0.2465  repeatability:3.2173  point_number:418.10 

## ep:0 iter:306/4999 ##  loss_detection:0.733  loss_description:0.1880  loss_informativeness:0.0000 
  loss_det_foreground:0.3659  loss_det_background:0.1861  repeatability:2.3570  point_number:326.33 

## ep:0 iter:310/4999 ##  loss_detection:0.569  loss_description:0.1866  loss_informativeness:0.0000 
  loss_det_foreground:0.2538  loss_det_background:0.2253  repeatability:2.8993  point_number:362.74 

## ep:0 iter:314/4999 ##  loss_detection:0.530  loss_description:0.1870  loss_informativeness:0.0000 
  loss_det_foreground:0.2401  loss_det_background:0.2052  repeatability:2.7762  point_number:370.15 

## ep:0 iter:318/4999 ##  loss_detection:0.562  loss_description:0.1870  loss_informativeness:0.0000 
  loss_det_foreground:0.2080  loss_det_background:0.2178  repeatability:2.8586  point_number:362.07 

## ep:0 iter:322/4999 ##  loss_detection:0.579  loss_description:0.1872  loss_informativeness:0.0000 
  loss_det_foreground:0.2606  loss_det_background:0.2065  repeatability:2.7449  point_number:316.91 

## ep:0 iter:326/4999 ##  loss_detection:0.710  loss_description:0.1872  loss_informativeness:0.0000 
  loss_det_foreground:0.3249  loss_det_background:0.1722  repeatability:2.4935  point_number:283.59 

## ep:0 iter:330/4999 ##  loss_detection:0.550  loss_description:0.1854  loss_informativeness:0.0000 
  loss_det_foreground:0.2377  loss_det_background:0.2059  repeatability:2.8212  point_number:361.00 

## ep:0 iter:334/4999 ##  loss_detection:0.645  loss_description:0.1906  loss_informativeness:0.0000 
  loss_det_foreground:0.3099  loss_det_background:0.1976  repeatability:2.3344  point_number:364.61 

## ep:0 iter:338/4999 ##  loss_detection:0.596  loss_description:0.1888  loss_informativeness:0.0000 
  loss_det_foreground:0.2759  loss_det_background:0.2094  repeatability:2.3323  point_number:283.19 

## ep:0 iter:342/4999 ##  loss_detection:0.861  loss_description:0.1887  loss_informativeness:0.0000 
  loss_det_foreground:0.3332  loss_det_background:0.2199  repeatability:2.5242  point_number:348.68 

## ep:0 iter:346/4999 ##  loss_detection:0.687  loss_description:0.1882  loss_informativeness:0.0000 
  loss_det_foreground:0.3026  loss_det_background:0.2192  repeatability:2.3343  point_number:261.62 

## ep:0 iter:350/4999 ##  loss_detection:0.612  loss_description:0.1878  loss_informativeness:0.0000 
  loss_det_foreground:0.2787  loss_det_background:0.2311  repeatability:2.7263  point_number:286.41 

## ep:0 iter:354/4999 ##  loss_detection:0.667  loss_description:0.1882  loss_informativeness:0.0000 
  loss_det_foreground:0.3078  loss_det_background:0.2295  repeatability:2.3721  point_number:297.16 

## ep:0 iter:358/4999 ##  loss_detection:0.704  loss_description:0.1879  loss_informativeness:0.0000 
  loss_det_foreground:0.3016  loss_det_background:0.2057  repeatability:2.6986  point_number:292.59 

## ep:0 iter:362/4999 ##  loss_detection:0.622  loss_description:0.1879  loss_informativeness:0.0000 
  loss_det_foreground:0.2792  loss_det_background:0.2329  repeatability:2.5256  point_number:293.49 

## ep:0 iter:366/4999 ##  loss_detection:0.554  loss_description:0.1883  loss_informativeness:0.0000 
  loss_det_foreground:0.2713  loss_det_background:0.2244  repeatability:2.5511  point_number:304.39 

## ep:0 iter:370/4999 ##  loss_detection:0.561  loss_description:0.1876  loss_informativeness:0.0000 
  loss_det_foreground:0.2561  loss_det_background:0.2204  repeatability:2.7431  point_number:330.35 

## ep:0 iter:374/4999 ##  loss_detection:0.599  loss_description:0.1878  loss_informativeness:0.0000 
  loss_det_foreground:0.3087  loss_det_background:0.1875  repeatability:2.5345  point_number:294.31 

## ep:0 iter:378/4999 ##  loss_detection:0.656  loss_description:0.1878  loss_informativeness:0.0000 
  loss_det_foreground:0.2890  loss_det_background:0.2116  repeatability:2.3873  point_number:364.14 

## ep:0 iter:382/4999 ##  loss_detection:0.590  loss_description:0.1860  loss_informativeness:0.0000 
  loss_det_foreground:0.2394  loss_det_background:0.2369  repeatability:3.2425  point_number:481.33 

## ep:0 iter:386/4999 ##  loss_detection:0.585  loss_description:0.1876  loss_informativeness:0.0000 
  loss_det_foreground:0.2779  loss_det_background:0.2115  repeatability:2.6116  point_number:427.88 

## ep:0 iter:390/4999 ##  loss_detection:0.565  loss_description:0.1858  loss_informativeness:0.0000 
  loss_det_foreground:0.2575  loss_det_background:0.2219  repeatability:2.6182  point_number:327.54 

## ep:0 iter:394/4999 ##  loss_detection:0.532  loss_description:0.1870  loss_informativeness:0.0000 
  loss_det_foreground:0.2422  loss_det_background:0.2006  repeatability:2.9659  point_number:286.33 

## ep:0 iter:398/4999 ##  loss_detection:0.571  loss_description:0.1872  loss_informativeness:0.0000 
  loss_det_foreground:0.2710  loss_det_background:0.1894  repeatability:2.4557  point_number:292.82 

## ep:0 iter:402/4999 ##  loss_detection:0.650  loss_description:0.1874  loss_informativeness:0.0000 
  loss_det_foreground:0.2703  loss_det_background:0.1981  repeatability:2.3235  point_number:352.19 

## ep:0 iter:406/4999 ##  loss_detection:0.593  loss_description:0.1869  loss_informativeness:0.0000 
  loss_det_foreground:0.2557  loss_det_background:0.1995  repeatability:2.4518  point_number:371.50 

## ep:0 iter:410/4999 ##  loss_detection:0.581  loss_description:0.1870  loss_informativeness:0.0000 
  loss_det_foreground:0.2518  loss_det_background:0.2038  repeatability:2.5357  point_number:308.75 

## ep:0 iter:414/4999 ##  loss_detection:0.520  loss_description:0.1868  loss_informativeness:0.0000 
  loss_det_foreground:0.2130  loss_det_background:0.2214  repeatability:2.9470  point_number:355.86 

## ep:0 iter:418/4999 ##  loss_detection:0.630  loss_description:0.1872  loss_informativeness:0.0000 
  loss_det_foreground:0.2920  loss_det_background:0.1668  repeatability:2.6116  point_number:331.07 

## ep:0 iter:422/4999 ##  loss_detection:0.631  loss_description:0.1868  loss_informativeness:0.0000 
  loss_det_foreground:0.2419  loss_det_background:0.2068  repeatability:2.7032  point_number:322.47 

## ep:0 iter:426/4999 ##  loss_detection:0.587  loss_description:0.1872  loss_informativeness:0.0000 
  loss_det_foreground:0.2796  loss_det_background:0.2017  repeatability:2.6498  point_number:413.27 

## ep:0 iter:430/4999 ##  loss_detection:0.535  loss_description:0.1870  loss_informativeness:0.0000 
  loss_det_foreground:0.2529  loss_det_background:0.1872  repeatability:2.4563  point_number:333.77 

## ep:0 iter:434/4999 ##  loss_detection:0.686  loss_description:0.1870  loss_informativeness:0.0000 
  loss_det_foreground:0.2533  loss_det_background:0.2136  repeatability:2.7499  point_number:341.27 

## ep:0 iter:438/4999 ##  loss_detection:0.586  loss_description:0.1868  loss_informativeness:0.0000 
  loss_det_foreground:0.2681  loss_det_background:0.1981  repeatability:2.6137  point_number:328.15 

## ep:0 iter:442/4999 ##  loss_detection:0.547  loss_description:0.1868  loss_informativeness:0.0000 
  loss_det_foreground:0.2629  loss_det_background:0.1919  repeatability:2.8738  point_number:355.76 

## ep:0 iter:446/4999 ##  loss_detection:0.527  loss_description:0.1868  loss_informativeness:0.0000 
  loss_det_foreground:0.2521  loss_det_background:0.2004  repeatability:2.7006  point_number:375.79 

## ep:0 iter:450/4999 ##  loss_detection:0.577  loss_description:0.1867  loss_informativeness:0.0000 
  loss_det_foreground:0.2629  loss_det_background:0.2086  repeatability:2.9047  point_number:347.03 

## ep:0 iter:454/4999 ##  loss_detection:0.558  loss_description:0.1868  loss_informativeness:0.0000 
  loss_det_foreground:0.2591  loss_det_background:0.2134  repeatability:2.9369  point_number:421.25 

## ep:0 iter:458/4999 ##  loss_detection:0.580  loss_description:0.1853  loss_informativeness:0.0000 
  loss_det_foreground:0.2764  loss_det_background:0.1846  repeatability:2.7409  point_number:265.12 

## ep:0 iter:462/4999 ##  loss_detection:0.579  loss_description:0.1867  loss_informativeness:0.0000 
  loss_det_foreground:0.2264  loss_det_background:0.2349  repeatability:3.0795  point_number:375.49 

## ep:0 iter:466/4999 ##  loss_detection:0.562  loss_description:0.1867  loss_informativeness:0.0000 
  loss_det_foreground:0.2828  loss_det_background:0.1922  repeatability:2.5868  point_number:291.80 

## ep:0 iter:470/4999 ##  loss_detection:0.567  loss_description:0.1871  loss_informativeness:0.0000 
  loss_det_foreground:0.2650  loss_det_background:0.2053  repeatability:2.8146  point_number:313.27 

## ep:0 iter:474/4999 ##  loss_detection:0.680  loss_description:0.1873  loss_informativeness:0.0000 
  loss_det_foreground:0.2843  loss_det_background:0.1926  repeatability:2.4208  point_number:258.38 

## ep:0 iter:478/4999 ##  loss_detection:0.547  loss_description:0.1871  loss_informativeness:0.0000 
  loss_det_foreground:0.3064  loss_det_background:0.1639  repeatability:2.5444  point_number:371.47 

## ep:0 iter:482/4999 ##  loss_detection:0.579  loss_description:0.1867  loss_informativeness:0.0000 
